A	EUR	0	AT	AUT	40	Австрия
ADN	YER	0	YE	YEM	887	Йемен (Демократическая Республика)
AFG	AFA	0	AF	AFG	4	Афганистан
AIA	XCD	0	AI	AIA	660	Ангилья
AL	ALL	0	AL	ALB	8	Албания
AN	ANG	0	AN	ANT	530	Нидерландские Антиллы
AND	EUR	0	AD	AND	20	Андорра
ANG	AON	0	AO	AGO	24	Ангола
ARM	AMD	0	AM	ARM	51	Армения
ASM	USD	0	AS	ASM	16	Американское Самоа
ATG	XCD	0	AG	ATG	28	Антигуа
AUS	AUD	0	AU	AUS	36	Австралия
AW	AWG	0	AW	ABW	533	Аруба
AZ	AZM	0	AZ	AZE	31	Азербайджан
B	EUR	0	BE	BEL	56	Бельгия
BD	BDT	0	BD	BGD	50	Бангладеш
BDS	BBD	0	BB	BRB	52	Барбадос
BF	XOF	0	BF	BFA	854	Буркина Фасо
BG	BGN	0	BG	BGR	100	Болгария
BH	BZD	0	BZ	BLZ	84	Белиз
BIH	BAM	0	BA	BIH	70	Босния и Герцеговина
BMU	BMD	0	BM	BMU	60	Бермудские острова
BOL	BOB	0	BO	BOL	68	Боливия
BR	BRL	0	BR	BRA	76	Бразилия
BRN	BHD	0	BH	BHR	48	Бахрейн
BRU	BND	0	BN	BRN	96	Бруней
BS	BSD	0	BS	BHS	44	Багамские Острова
BTN	BTN	0	BT	BTN	64	Бутан
BUR	MMK	0	MM	MMR	104	Мьянма (Бирма)
BY	BYR	0	BY	BLR	112	Белоруссия
C	CUP	0	CU	CUB	192	Куба
CAL	USD	0			0	California
CD	CDF	0	CD	COD	180	Демократическая Республика Конго (Заир)
CDN	CAD	0	CA	CAN	124	Канада
CH	CHF	0	CH	CHE	756	Швейцария
CI	XOF	0	CI	CIV	384	Республика Кот-д'Ивуар (Берег Слоновой кости)
CK	NZD	0	CK	COK	184	Острова Кука
CL	LKR	0	LK	LKA	144	Шри-Ланка (Цейлон)
CM	XAF	0	CM	CMR	120	Камерун
CO	COP	0	CO	COL	170	Колумбия
CP	CVE	0	CV	CPV	132	Кабо-Верде
CR	CRC	0	CR	CRI	188	Коста-Рика
CY	CYP	0	CY	CYP	196	Кипр
CYM	KYD	0	KY	CYM	136	Каймановые острова
CZ	CZK	0	CZ	CZE	203	Чешская Республика
D	EUR	0	DE	DEU	276	Германия
DJ	DJF	0	DJ	DJI	262	Джибути
DK	DKK	0	DK	DNK	208	Дания
DOM	DOP	0	DO	DOM	214	Доминиканская Республика
DY	XOF	0	BJ	BEN	204	Бенин (Дагомея)
DZ	DZD	0	DZ	DZA	12	Алжир
E	EUR	0	ES	ESP	724	Испания
EAK	KES	0	KE	KEN	404	Кения
EAT	TZS	0	TZ	TZA	834	Танзания
EAU	UGS	0	UG	UGA	800	Уганда
EC	ECS	0	EC	ECU	218	Эквадор
EH	MAD	0	EH	ESH	732	Западная Сахара
ER	ERN	0	ER	ERI	232	Эритрея
ES	SVC	0	SV	SLV	222	Эль-Сальвадор
ET	EGP	0	EG	EGY	818	Египет
ETH	ETB	0	ET	ATH	231	Эфиопия
EW	EEK	0	EE	EST	233	Эстония
F	EUR	0	FR	FRA	250	Франция
FJI	FJD	0	FJ	FJI	242	Фиджи
FL	CHF	0	LI	LIE	438	Лихтенштейн
FLK	FKP	0	FK	FLK	238	Фолклендские острова
FM	USD	0	FM	FSM	583	Микронезия
FR	DKK	0	FO	FRO	234	Фарерские острова
GA	XAF	0	GA	GAB	266	Габон
GB	GBP	0	GB	GBR	826	Великобритания
GBG		0	GG	GGY	0	Гуернсей
GBJ		0	JE	JEY	0	Джерсей
GBZ	GIP	0	GI	GIB	292	Гибралтар
GCA	GTQ	0	GT	GTM	320	Гватемала
GF	EUR	0	GF	GUF	254	Французская Гвиана
GH	GHC	0	GH	GHA	288	Гана
GL	DKK	0	GL	GRL	304	Гренландия
GN	GNF	0	GN	GIN	324	Гвинея
GO	GEL	0	GE	GEO	268	Грузия
GP	EUR	0	GP	GLP	312	Гваделупа
GQ	XAF	0	GQ	GNQ	226	Экваториальная Гвинея
GR	EUR	0	GR	GRC	300	Греция
GU	USD	0	GU	GUM	316	Гуам
GUY	GYD	0	GY	GUY	328	Гайана
GW	XOF	0	GW	GNB	624	Гвинея-Висау
H	HUF	0	HU	HUN	348	Венгрия
HK	HKD	0	HK	HKG	344	Гонконг
HN	HNL	0	HN	HND	340	Гондурас
HR	HRK	0	HR	HRV	191	Хорватия
I	EUR	0	IT	ITA	380	Италия
IL	ILS	0	IL	ISR	376	Израиль
IND	INR	0	IN	IND	356	Индия
IR	IRR	0	IR	IRN	364	Иран
IRL	EUR	0	IE	IRL	372	Ирландия
IRQ	IQD	0	IQ	IRQ	368	Ирак
IS	ISK	0	IS	ISL	352	Исландия
J	JPY	0	JP	JPN	392	Япония
JA	JMD	0	JM	JAM	388	Ямайка
JOR	JOD	0	JO	JOR	400	Иордания
K	KHR	0	KH	KHM	116	Камбоджа
KAS	KZT	0	KZ	KAZ	398	Казахстан
KI	AUD	0	KI	KIR	296	Кирибати
KM	KMF	0	KM	COM	174	Коморские острова
KN	XCD	0	KN	KNA	659	Сент-Китс и Невис
KP	KPW	0	KP	PRK	408	Корейская Народно-Демократическая Республика
KS	KGS	0	KG	KGZ	417	Киргизия
KWT	KWD	0	KW	KWT	414	Кувейт
L	EUR	0	LU	LUX	442	Люксембург
LAO	LAK	0	LA	LAO	418	Лаос
LAR	LYD	0	LY	LBY	434	Ливия (Ливийская Арабская Джамахирия)
LB	LRD	0	LR	LBR	430	Либерия
LS	LSL	0	LS	LSO	426	Лесото
LT	LTL	0	LT	LTU	440	Литва
LV	LVL	0	LV	LVA	428	Латвия
M	MTL	0	MT	MLT	470	Мальта
MA	MAD	0	MA	MAR	504	Марокко
MAC	MOP	0	MO	MAC	446	Макао
MAL	MYR	0	MY	MYS	458	Малазия
MC	FRF	0	MC	MCO	492	Монако
MD	MDL	0	MD	MDA	498	Молдова (Молдавия)
MEX	MXP	0	MX	MEX	484	Мексика
MH	USD	0	MH	MHL	584	Маршалловы Острова
MK	MKD	0	MK	MKD	807	Македония
MN	MNT	0	MN	MNG	496	Монголия
MNE	EUR	0	ME	MNE	499	Черногория
MP	USD	0	MP	MNP	580	Северные Марианские острова
MQ	EUR	0	MQ	MTQ	474	Мартиника
MS	MUR	0	MU	MUS	480	Маврикий
MSR	XCD	0	MS	MSR	500	Монтсеррат
MV	MVR	0	MV	MDV	462	Мальдивы
MW	MWK	0	MW	MWI	454	Малави
MZ	MZM	0	MZ	MOZ	508	Мозамбик
N	NOK	0	NO	NOR	578	Норвегия
NA	NAD	0	NA	NAM	516	Намибия
NC	XPF	0	NC	NCL	540	Новая Каледония
NIC	NIO	0	NI	NIC	558	Никарагуа
NL	EUR	0	NL	NLD	528	Нидерланды
NPL	NPR	0	NP	NPL	524	Непал
NR	AUD	0	NR	NRU	520	Науру
NZ	NZD	0	NZ	NZL	554	Новая Зеландия
OM	OMR	0	OM	OMN	512	Оман
P	EUR	0	PT	PRT	620	Португалия
PA	PAB	0	PA	PAN	591	Панама
PE	PEN	0	PE	PER	604	Перу
PF	XPF	0	PF	PYF	258	Французская Полинезия
PK	PKR	0	PK	PAK	586	Пакистан
PL	PLN	0	PL	POL	616	Польша
PNG	PGK	0	PG	PNG	598	Папуа - Новая Гвинея
PR	USD	0	PR	PRI	630	Пуэрто-Рико
PS		0	PS	PSE	275	Палестинская автономия
PW	USD	0	PW	PLW	585	Палау
PY	PYG	0	PY	PRY	600	Парагвай
Q	QAR	0	QA	QAT	634	Катар
RA	ARS	0	AR	ARG	32	Аргентина
RB	BWP	0	BW	BWA	72	Ботсвана
RC	CNY	0	TW	TWN	158	Китай (Тайвань)
RCA	XAF	0	CF	CAF	140	Центральная Африканская Республика
RCB	XAF	0	CG	COG	178	Конго
RCH	CLP	0	CL	CHL	152	Чили
RE	EUR	0	RE	REU	638	Реюньон
RH	HTG	0	HT	HTI	332	Гаити
RI	IDR	0	ID	IDN	360	Индонезия
RIM	MRO	0	MR	MRT	478	Мавритания
RL	LBP	0	LB	LBN	422	Ливан
RM	MGF	0	MG	MDG	450	Мадагаскар
RMM	XOF	0	ML	MLI	466	Мали
RN	XOF	0	NE	NER	562	Нигер
RO	RON	0	RO	ROU	642	Румыния
ROK	KRW	0	KR	KOR	410	Корея (Республика)
ROU	UYP	0	UY	URY	858	Уругвай
RP	PHP	0	PH	PHL	608	Филиппины
RSM	ITL	0	SM	SMR	674	Сан Марино
RU	BIF	0	BI	BDI	108	Бурунди
RUS	RUB	0	RU	RUS	643	Россия
RWA	RWF	0	RW	RWA	646	Руанда
S	SEK	0	SE	SWE	752	Швеция
SA	SAR	0	SA	SAU	682	Саудовская Аравия
SCG	CSD	0	CS	SCG	891	Сербия и Черногория
SD	SZL	0	SD	SDN	729	Судан
SF	EUR	0	FI	FIN	246	Финляндия
SGP	SGD	0	SG	SGP	702	Сингапур
SK	SKK	0	SK	SVK	703	Словакия
SLB	SBD	0	SB	SLB	90	Соломоновы острова
SLO	EUR	0	SI	SVN	705	Словения
SME	SRG	0	SR	SUR	740	Суринам
SN	XAF	0	SN	SEN	686	Сенегал
SP	SOS	0	SO	SOM	706	Сомали
SRB	RSD	0	RS	SRB	688	Сербия
SSD	SSP	0	SS	SSD	728	Южный Судан
ST	STD	0	ST	STP	678	Сан-Томе и Принсипи
SU		0	SU		0	Советский Союз (бывший)
SY	SCR	0	SC	SYC	690	Сейшелы
SYR	SYP	0	SY	SYR	760	Сирия
SZ	SZL	0	SZ	SWZ	748	Свазиленд
T	THB	0	TH	THA	764	Тайланд
TD	XAF	0	TD	TCD	148	Чад
TG	XOF	0	TG	TGO	768	Того
TJ	CNY	0	CN	CHN	156	КНР
TJK	TJS	0	TJ	TJK	762	Таджикистан
