1	0	Аккумулятор	Система стартера		Стартерная аккумуляторная батарея
2	1	Стартер	Система стартера		Стартер
4	2	Генератор	Генератор		Генератор
5	3	Шарнирный комплект	Привод колеса	Приводной вал	Шарнирный комплект, приводной вал
7	4	Фильтр	Смазывание	Моторное масло	Масляный фильтр
8	5	Фильтр	Система подачи воздуха	Воздух	Воздушный фильтр
9	6	Фильтр	Система подачи топлива	Топливо	Топливный фильтр
10	7	Ремень	Ременный привод	Клиновой ремень	Клиновой ремень
12	8	Насос	Рулевое управление	Гидросистема	Гидравлический насос, рулевое управление
13	9	Вал	Привод колеса	Приводной вал	Приводной вал
14	10	Рассеиватель	Освещение	Основная фара	Рассеиватель, основная фара
16	12	Рассеиватель	Освещение	Фара дальнего света	Рассеиватель, фара дальнего света
17	13	Трубка	Система выпуска ОГ		Труба выхлопного газа
19	14	Насадка-облицовка	Освещение	Противотуманная фара	Облицовка, противотуманная фара
20	15	Насадка-облицовка	Кузов	Буфер	Облицовка, бампер
21	16	Заслонка	Кузов	Буксирный крюк	Заслонка, буксирный крюк
22	17	Покрытие	Кузов	Бачок радиатора	Покрытие, бачок радиатора
23	18	Покрытие	Кузов	Наружное зеркало	Покрытие, внешнее зеркало
25	19	Крышка	Освещение	Основная фара	Крышка, основная фара
26	20	Глушитель	Система выпуска ОГ		Система выпуска ОГ
27	21	Прокладкa	Головка цилиндра	Выпускной коллектор	Прокладка, выпускной коллектор
28	22	Комплект прокладок	Головка цилиндра	Выпускной коллектор	Комплект прокладок, выпускной коллектор
29	23	Клапан	Система подачи топлива	Фильтр активированного угля	Клапан, фильтр активированного угля
32	25	Накладка	Прицепное оборудование	Защита экраном	Экран, прицепное оборудование
33	26	Клапан	Система подачи топлива		Клапан, система питания
34	27	Болт	Подвеска колеса	Поворотный кулак	Болт поворотного кулака
37	30	Монтажный комплект	Подвеска / амортизация	Амортизатор	Монтажный комплект, амортизатор
38	31	Прицепное ярмо	Прицепное оборудование		Прицепное ярмо, прицепное оборудование
39	32	Прицеп	Прицепное оборудование		Прицепное оборудование
40	33	Прокладкa	Головка цилиндра	Впускной / выпускной коллектор	Прокладка, впускной / выпускной коллектор
41	34	Комплект прокладок	Головка цилиндра	Впускной / выпускной коллектор	Комплект прокладок, впускной / выпускной коллектор
42	35	Прокладкa	Головка цилиндра	Впускной коллектор	Прокладка, впускной коллектор
